YEAR,ELECTYPE,LOCALITY,COUNTY,STATEFP,PRECINCT,PRECINCT_NAME,OFFICENAME,CANDIDATE,PARTY,VOTES
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Phil Bredesen,Democrat,1040
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Jim Bryson,Republican,394
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,George Banks,Independent,5
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,David Gatchell,Independent,4
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Marivuana Stout Leinoff,Independent,0
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Charles E. Smith,Independent,0
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Howard M. Switzer,Independent,4
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,9
2006,PRIMARY,STATE,Cheatham,47,1-1,AC Church Christ,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Phil Bredesen,Democrat,1022
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Jim Bryson,Republican,618
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,George Banks,Independent,10
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,David Gatchell,Independent,2
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Marivuana Stout Leinoff,Independent,2
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Charles E. Smith,Independent,4
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Howard M. Switzer,Independent,1
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,7
2006,PRIMARY,STATE,Cheatham,47,2-2,East Cheatham Elementary,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Phil Bredesen,Democrat,1397
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Jim Bryson,Republican,743
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,George Banks,Independent,6
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,David Gatchell,Independent,1
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Marivuana Stout Leinoff,Independent,2
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Charles E. Smith,Independent,2
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Howard M. Switzer,Independent,0
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,9
2006,PRIMARY,STATE,Cheatham,47,3-1,Pleasant View,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Phil Bredesen,Democrat,754
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Jim Bryson,Republican,423
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,George Banks,Independent,11
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,David Gatchell,Independent,2
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Marivuana Stout Leinoff,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Charles E. Smith,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Howard M. Switzer,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,11
2006,PRIMARY,STATE,Cheatham,47,4-1,West Cheatham Elementary,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Phil Bredesen,Democrat,22
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Jim Bryson,Republican,12
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,George Banks,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,David Gatchell,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Marivuana Stout Leinoff,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Charles E. Smith,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Howard M. Switzer,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-2,New Hope CC,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Phil Bredesen,Democrat,459
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Jim Bryson,Republican,240
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,George Banks,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,David Gatchell,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Marivuana Stout Leinoff,Independent,0
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Charles E. Smith,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Howard M. Switzer,Independent,1
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,7
2006,PRIMARY,STATE,Cheatham,47,4-3,Sycamore Middle,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Phil Bredesen,Democrat,368
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Jim Bryson,Republican,204
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,George Banks,Independent,2
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,David Gatchell,Independent,0
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Marivuana Stout Leinoff,Independent,1
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Charles E. Smith,Independent,0
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Howard M. Switzer,Independent,2
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,6
2006,PRIMARY,STATE,Cheatham,47,5-1,Two Rivers Fire,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Phil Bredesen,Democrat,916
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Jim Bryson,Republican,489
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,George Banks,Independent,3
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,David Gatchell,Independent,0
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Marivuana Stout Leinoff,Independent,1
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Charles E. Smith,Independent,3
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Howard M. Switzer,Independent,4
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,13
2006,PRIMARY,STATE,Cheatham,47,5-2,Pegram Elementary,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Phil Bredesen,Democrat,1528
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Jim Bryson,Republican,701
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,George Banks,Independent,7
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,David Gatchell,Independent,3
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Marivuana Stout Leinoff,Independent,1
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Charles E. Smith,Independent,2
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Howard M. Switzer,Independent,2
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,Carl (Twofeathers) Whitaker,Independent,14
2006,PRIMARY,STATE,Cheatham,47,6-1,Harpeth High,Tennessee Governor,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Harold Ford Jr.,Democrat,805
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Bob Corker,Republican,622
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Ed Choate,Independent,15
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,David Gatchell,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Emory (Bo) Heyward,Independent,4
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,H. Gary Keplinger,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Christopher Joseph Lugo,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,1-1,AC Church Christ,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Harold Ford Jr.,Democrat,675
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Bob Corker,Republican,957
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Ed Choate,Independent,19
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,David Gatchell,Independent,7
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Emory (Bo) Heyward,Independent,5
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,H. Gary Keplinger,Independent,4
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Christopher Joseph Lugo,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,2-2,East Cheatham Elementary,United States Senate,Mary Taylor-Shelby,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Harold Ford Jr.,Democrat,882
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Bob Corker,Republican,1243
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Ed Choate,Independent,31
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,David Gatchell,Independent,4
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Emory (Bo) Heyward,Independent,3
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,H. Gary Keplinger,Independent,2
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Christopher Joseph Lugo,Independent,1
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Thomas M. Davidson,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,James Anthony Gray,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,John Jay Hooker,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Gloria D. Reagon Price,Write-In,0
2006,PRIMARY,FEDERAL,Cheatham,47,3-1,Pleasant View,United States Senate,Mary Taylor-Shelby,Write-In,0
