Year,County,Party,Partisan_Lean,Candidate,Votes,National_Winner,County_Winner
1904,Anderson,Democratic,Center-Left,Alton B. Parker,512,FALSE,FALSE
1904,Anderson,Republican,Center-Right,Theodore Roosevelt,1407,TRUE,TRUE
1904,Anderson,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Anderson,Prohibition,Other,Silas C. Swallow,9,FALSE,FALSE
1904,Anderson,Socialist,Left,Eugene V. Debs,24,FALSE,FALSE
1904,Bedford,Democratic,Center-Left,Alton B. Parker,2063,FALSE,TRUE
1904,Bedford,Republican,Center-Right,Theodore Roosevelt,1301,TRUE,FALSE
1904,Bedford,Populist,Left,Thomas E. Watson,4,FALSE,FALSE
1904,Bedford,Prohibition,Other,Silas C. Swallow,3,FALSE,FALSE
1904,Bedford,Socialist,Left,Eugene V. Debs,4,FALSE,FALSE
1904,Benton,Democratic,Center-Left,Alton B. Parker,1352,FALSE,TRUE
1904,Benton,Republican,Center-Right,Theodore Roosevelt,974,TRUE,FALSE
1904,Benton,Populist,Left,Thomas E. Watson,85,FALSE,FALSE
1904,Benton,Prohibition,Other,Silas C. Swallow,4,FALSE,FALSE
1904,Benton,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Bledsoe,Democratic,Center-Left,Alton B. Parker,534,FALSE,FALSE
1904,Bledsoe,Republican,Center-Right,Theodore Roosevelt,718,TRUE,TRUE
1904,Bledsoe,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Bledsoe,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Bledsoe,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Blount,Democratic,Center-Left,Alton B. Parker,618,FALSE,FALSE
1904,Blount,Republican,Center-Right,Theodore Roosevelt,1987,TRUE,TRUE
1904,Blount,Populist,Left,Thomas E. Watson,6,FALSE,FALSE
1904,Blount,Prohibition,Other,Silas C. Swallow,17,FALSE,FALSE
1904,Blount,Socialist,Left,Eugene V. Debs,3,FALSE,FALSE
1904,Bradley,Democratic,Center-Left,Alton B. Parker,701,FALSE,FALSE
1904,Bradley,Republican,Center-Right,Theodore Roosevelt,1242,TRUE,TRUE
1904,Bradley,Populist,Left,Thomas E. Watson,6,FALSE,FALSE
1904,Bradley,Prohibition,Other,Silas C. Swallow,19,FALSE,FALSE
1904,Bradley,Socialist,Left,Eugene V. Debs,8,FALSE,FALSE
1904,Campbell,Democratic,Center-Left,Alton B. Parker,309,FALSE,FALSE
1904,Campbell,Republican,Center-Right,Theodore Roosevelt,1198,TRUE,TRUE
1904,Campbell,Populist,Left,Thomas E. Watson,4,FALSE,FALSE
1904,Campbell,Prohibition,Other,Silas C. Swallow,72,FALSE,FALSE
1904,Campbell,Socialist,Left,Eugene V. Debs,23,FALSE,FALSE
1904,Cannon,Democratic,Center-Left,Alton B. Parker,1014,FALSE,TRUE
1904,Cannon,Republican,Center-Right,Theodore Roosevelt,614,TRUE,FALSE
1904,Cannon,Populist,Left,Thomas E. Watson,2,FALSE,FALSE
1904,Cannon,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Cannon,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Carroll,Democratic,Center-Left,Alton B. Parker,1633,FALSE,FALSE
1904,Carroll,Republican,Center-Right,Theodore Roosevelt,2424,TRUE,TRUE
1904,Carroll,Populist,Left,Thomas E. Watson,203,FALSE,FALSE
1904,Carroll,Prohibition,Other,Silas C. Swallow,22,FALSE,FALSE
1904,Carroll,Socialist,Left,Eugene V. Debs,7,FALSE,FALSE
1904,Carter,Democratic,Center-Left,Alton B. Parker,379,FALSE,FALSE
1904,Carter,Republican,Center-Right,Theodore Roosevelt,2584,TRUE,TRUE
1904,Carter,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Carter,Prohibition,Other,Silas C. Swallow,21,FALSE,FALSE
1904,Carter,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Cheatham,Democratic,Center-Left,Alton B. Parker,1015,FALSE,TRUE
1904,Cheatham,Republican,Center-Right,Theodore Roosevelt,420,TRUE,FALSE
1904,Cheatham,Populist,Left,Thomas E. Watson,8,FALSE,FALSE
1904,Cheatham,Prohibition,Other,Silas C. Swallow,6,FALSE,FALSE
1904,Cheatham,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Chester,Democratic,Center-Left,Alton B. Parker,824,FALSE,TRUE
1904,Chester,Republican,Center-Right,Theodore Roosevelt,578,TRUE,FALSE
1904,Chester,Populist,Left,Thomas E. Watson,103,FALSE,FALSE
1904,Chester,Prohibition,Other,Silas C. Swallow,10,FALSE,FALSE
1904,Chester,Socialist,Left,Eugene V. Debs,9,FALSE,FALSE
1904,Claiborne,Democratic,Center-Left,Alton B. Parker,959,FALSE,FALSE
1904,Claiborne,Republican,Center-Right,Theodore Roosevelt,993,TRUE,TRUE
1904,Claiborne,Populist,Left,Thomas E. Watson,9,FALSE,FALSE
1904,Claiborne,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Claiborne,Socialist,Left,Eugene V. Debs,7,FALSE,FALSE
1904,Clay,Democratic,Center-Left,Alton B. Parker,544,FALSE,TRUE
1904,Clay,Republican,Center-Right,Theodore Roosevelt,501,TRUE,FALSE
1904,Clay,Populist,Left,Thomas E. Watson,24,FALSE,FALSE
1904,Clay,Prohibition,Other,Silas C. Swallow,25,FALSE,FALSE
1904,Clay,Socialist,Left,Eugene V. Debs,3,FALSE,FALSE
1904,Cocke,Democratic,Center-Left,Alton B. Parker,626,FALSE,FALSE
1904,Cocke,Republican,Center-Right,Theodore Roosevelt,1726,TRUE,TRUE
1904,Cocke,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Cocke,Prohibition,Other,Silas C. Swallow,5,FALSE,FALSE
1904,Cocke,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Coffee,Democratic,Center-Left,Alton B. Parker,1441,FALSE,TRUE
1904,Coffee,Republican,Center-Right,Theodore Roosevelt,536,TRUE,FALSE
1904,Coffee,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Coffee,Prohibition,Other,Silas C. Swallow,1,FALSE,FALSE
1904,Coffee,Socialist,Left,Eugene V. Debs,45,FALSE,FALSE
1904,Crockett,Democratic,Center-Left,Alton B. Parker,1167,FALSE,TRUE
1904,Crockett,Republican,Center-Right,Theodore Roosevelt,1102,TRUE,FALSE
1904,Crockett,Populist,Left,Thomas E. Watson,2,FALSE,FALSE
1904,Crockett,Prohibition,Other,Silas C. Swallow,8,FALSE,FALSE
1904,Crockett,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Cumberland,Democratic,Center-Left,Alton B. Parker,375,FALSE,FALSE
1904,Cumberland,Republican,Center-Right,Theodore Roosevelt,898,TRUE,TRUE
1904,Cumberland,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,Cumberland,Prohibition,Other,Silas C. Swallow,27,FALSE,FALSE
1904,Cumberland,Socialist,Left,Eugene V. Debs,31,FALSE,FALSE
1904,Davidson,Democratic,Center-Left,Alton B. Parker,7735,FALSE,TRUE
1904,Davidson,Republican,Center-Right,Theodore Roosevelt,1900,TRUE,FALSE
1904,Davidson,Populist,Left,Thomas E. Watson,85,FALSE,FALSE
1904,Davidson,Prohibition,Other,Silas C. Swallow,94,FALSE,FALSE
1904,Davidson,Socialist,Left,Eugene V. Debs,142,FALSE,FALSE
1904,DeKalb,Democratic,Center-Left,Alton B. Parker,1095,FALSE,FALSE
1904,DeKalb,Republican,Center-Right,Theodore Roosevelt,1274,TRUE,TRUE
1904,DeKalb,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1904,DeKalb,Prohibition,Other,Silas C. Swallow,48,FALSE,FALSE
1904,DeKalb,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Decatur,Democratic,Center-Left,Alton B. Parker,858,FALSE,FALSE
1904,Decatur,Republican,Center-Right,Theodore Roosevelt,921,TRUE,TRUE
1904,Decatur,Populist,Left,Thomas E. Watson,1,FALSE,FALSE
1904,Decatur,Prohibition,Other,Silas C. Swallow,0,FALSE,FALSE
1904,Decatur,Socialist,Left,Eugene V. Debs,1,FALSE,FALSE
1904,Dickson,Democratic,Center-Left,Alton B. Parker,1490,FALSE,TRUE
1904,Dickson,Republican,Center-Right,Theodore Roosevelt,828,TRUE,FALSE
1904,Dickson,Populist,Left,Thomas E. Watson,21,FALSE,FALSE
1904,Dickson,Prohibition,Other,Silas C. Swallow,41,FALSE,FALSE
1904,Dickson,Socialist,Left,Eugene V. Debs,49,FALSE,FALSE
1904,Dyer,Democratic,Center-Left,Alton B. Parker,1771,FALSE,TRUE
1904,Dyer,Republican,Center-Right,Theodore Roosevelt,625,TRUE,FALSE
1904,Dyer,Populist,Left,Thomas E. Watson,7,FALSE,FALSE
1904,Dyer,Prohibition,Other,Silas C. Swallow,9,FALSE,FALSE
1904,Dyer,Socialist,Left,Eugene V. Debs,4,FALSE,FALSE
1904,Fayette,Democratic,Center-Left,Alton B. Parker,2010,FALSE,TRUE
1904,Fayette,Republican,Center-Right,Theodore Roosevelt,62,TRUE,FALSE
1904,Fayette,Populist,Left,Thomas E. Watson,13,FALSE,FALSE
1904,Fayette,Prohibition,Other,Silas C. Swallow,4,FALSE,FALSE
1904,Fayette,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1904,Fentress,Democratic,Center-Left,Alton B. Parker,278,FALSE,FALSE
1904,Fentress,Republican,Center-Right,Theodore Roosevelt,724,TRUE,TRUE
1904,Fentress,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
