election,county,registered_voters,total_votes_cast,absentee_by_mail_voters,early_voters,per_voter_turnout,per_early_voters,per_early_absentee_voters
2020-11-03,Anderson,50334,35812,3161,24215,0.7114872650693368,0.676169998883056,0.7644365017312633
2020-11-03,Bedford,27107,19193,829,13706,0.7080458922049655,0.7141145209190851,0.7573073516386183
2020-11-03,Benton,10711,7279,433,5081,0.679581738399776,0.6980354444291799,0.7575216375875807
2020-11-03,Bledsoe,8460,5831,296,2250,0.6892434988179669,0.3858686331675527,0.436631795575373
2020-11-03,Blount,91387,66807,5352,45995,0.7310339545011872,0.6884757585282979,0.7685871241037616
2020-11-03,Bradley,73686,48063,2533,34987,0.6522677306408273,0.7279404115431829,0.7806420739446144
2020-11-03,Campbell,25237,14990,845,7743,0.5939691722470976,0.5165443629086057,0.5729152768512341
2020-11-03,Cannon,9053,6605,259,3927,0.7295924003092897,0.594549583648751,0.6337623012869038
2020-11-03,Carroll,17232,12104,616,7460,0.702414113277623,0.6163251817580965,0.6672174487772637
2020-11-03,Carter,36452,24596,1709,10604,0.6747503566333809,0.43112701252236135,0.5006098552610181
2020-11-03,Cheatham,27425,20366,1047,15709,0.7426071103008204,0.7713345772365707,0.8227437886673868
2020-11-03,Chester,10849,7614,324,5155,0.7018158355608812,0.6770422905174678,0.7195954820068295
2020-11-03,Claiborne,19754,13064,747,8255,0.6613344132833856,0.6318891610532762,0.6890691977954685
2020-11-03,Clay,5547,3523,253,2094,0.6351180818460429,0.5943797899517457,0.6661935850127733
2020-11-03,Cocke,23146,14926,907,9494,0.6448630432904173,0.6360712850060297,0.6968377328152218
2020-11-03,Coffee,34762,24386,1285,15960,0.7015131465393245,0.6544738784548512,0.7071680472402198
2020-11-03,Crockett,8404,6151,169,4130,0.7319133745835317,0.6714355389367582,0.6989107462201268
2020-11-03,Cumberland,45094,32438,3340,19700,0.719341819310773,0.6073124113693816,0.7102780689315001
2020-11-03,Davidson,479273,312162,33626,222475,0.6513239844514505,0.7126908464194873,0.8204105560574317
2020-11-03,Decatur,7319,5276,233,3566,0.7208635059434348,0.675890826383624,0.7200530705079605
2020-11-03,Dekalb,12507,8567,499,4635,0.6849764132086031,0.5410295319248278,0.5992762927512548
2020-11-03,Dickson,36264,24476,1824,15286,0.6749393337745423,0.6245301519856186,0.6990521327014217
2020-11-03,Dyer,22477,15121,592,10606,0.6727321261734217,0.7014086369949077,0.7405594868064281
2020-11-03,Fayette,30419,23127,1435,14652,0.7602814030704493,0.6335452069010248,0.6955938945820902
2020-11-03,Fentress,12727,8763,480,5963,0.6885361829182054,0.6804747232682871,0.7352504849937236
2020-11-03,Franklin,26696,19207,1240,9460,0.719471081810009,0.49252876555422503,0.557088561461967
2020-11-03,Gibson,31066,22471,798,13933,0.723330972767656,0.6200436117662765,0.6555560500200258
2020-11-03,Giles,19376,13262,720,8026,0.6844549958711809,0.6051877544865027,0.6594782084150204
2020-11-03,Grainger,14559,10207,756,5628,0.701078370767223,0.5513863035171941,0.6254531204075634
2020-11-03,Greene,41300,28223,2533,12989,0.6833656174334141,0.46022747404599085,0.5499769691386458
2020-11-03,Grundy,8373,5890,227,3499,0.7034515705243043,0.5940577249575552,0.632597623089983
