County,Democratic,Republican,Socialist,Populist,Other
Anderson,632,2022,15,2,2
Bedford,1996,1446,3,2,0
Benton,1221,860,6,53,0
Bledsoe,295,425,1,3,0
Blount,847,2568,0,0,18
Bradley,620,1063,18,9,4
Campbell,530,1806,30,6,38
Cannon,904,672,0,4,1
Carroll,1802,2290,18,71,0
Carter,459,3152,0,0,4
Cheatham,1206,526,2,0,0
Chester,703,577,10,94,0
Claiborne,971,1637,0,14,5
Clay,764,634,4,10,1
Cocke,688,1749,6,11,9
Coffee,1654,656,30,1,5
Crockett,1226,1205,0,0,0
Cumberland,479,1010,0,0,0
Davidson,8309,2721,157,18,27
DeKalb,1284,1464,2,1,1
Decatur,845,958,0,0,0
Dickson,1499,899,56,11,2
Dyer,1786,672,20,7,0
Fayette,1849,4,3,14,0
Fentress,332,894,6,0,0
Franklin,2168,716,15,1,2
Gibson,3173,1369,3,26,2
Giles,3042,1571,0,5,0
Grainger,673,1309,0,5,6
Greene,1886,2027,1,2,7
Grundy,576,261,134,10,0
Hamblen,795,991,1,3,3
Hamilton,4564,4250,208,12,79
Hancock,370,1396,0,0,0
Hardeman,1568,553,14,33,0
Hardin,720,1132,9,42,6
Hawkins,1152,1693,0,0,0
Haywood,1215,189,27,0,0
Henderson,900,1148,0,0,22
Henry,2369,1069,18,10,10
Hickman,1285,1065,18,4,1
Houston,665,288,25,0,0
Humphreys,1301,679,14,0,0
Jackson,1404,966,2,2,0
James,217,608,1,0,0
Jefferson,662,1962,0,4,20
Johnson,232,2148,0,0,1
Knox,4090,5817,159,39,180
Lake,464,178,9,0,0
Lauderdale,1315,519,22,0,0
Lawrence,1591,1725,12,0,2
Lewis,465,354,2,0,0
Lincoln,2311,692,4,64,9
Loudon,444,986,5,5,10
Macon,684,1594,3,24,0
Madison,2409,1357,45,75,1
Marion,842,1074,29,3,2
Marshall,1544,440,4,71,6
Maury,2324,620,11,22,6
McMinn,926,1320,0,13,5
McNairy,1057,1300,0,37,3
Meigs,464,457,0,4,0
Monroe,1406,1827,8,0,0
Montgomery,2961,1903,17,28,12
Moore,677,103,0,3,1
Morgan,496,1236,1,0,5
Obion,2258,711,10,0,11
Overton,1401,1008,65,0,0
Perry,756,678,12,0,0
Pickett,391,517,0,0,0
Polk,747,1175,0,0,0
Putnam,1632,1419,5,0,3
Rhea,883,995,4,2,5
Roane,595,1524,113,18,18
Robertson,2418,755,6,7,2
Rutherford,2764,1226,0,0,0
Scott,190,1932,25,0,0
Sequatchie,394,249,0,0,0
Sevier,291,3130,2,0,0
Shelby,7411,3069,239,14,23
Smith,1638,1056,0,69,7
Stewart,1475,715,97,0,0
Sullivan,2393,1836,2,11,19
Sumner,2343,673,11,12,5
Tipton,1662,1041,3,18,1
Trousdale,476,198,0,6,0
Unicoi,67,860,0,0,0
Union,496,1684,3,0,0
Van Buren,329,176,4,0,0
Warren,1573,729,19,2,7
Washington,1574,2254,4,1,2
Wayne,451,1411,0,0,1
Weakley,2976,1812,17,29,11
White,1572,835,16,0,0
Williamson,1928,605,5,23,0
Wilson,2212,902,0,2,0
