County,Democratic,Republican,Progressive,Socialist
Anderson,597,539,1148,55
Bedford,2305,1474,96,6
Benton,1095,652,289,30
Bledsoe,464,379,401,10
Blount,836,870,1410,0
Bradley,645,485,548,10
Campbell,554,302,1193,52
Cannon,1184,631,48,7
Carroll,1653,1362,967,69
Carter,478,1243,1926,0
Cheatham,1096,317,123,23
Chester,636,312,388,38
Claiborne,903,589,1098,19
Clay,718,440,83,12
Cocke,597,757,549,10
Coffee,1705,521,63,28
Crockett,1297,852,509,27
Cumberland,489,372,434,11
Davidson,9517,1428,1330,206
Decatur,758,405,491,15
DeKalb,1394,1219,265,2
Dickson,1689,448,293,55
Dyer,1469,318,348,82
Fayette,830,59,93,0
Fentress,399,444,317,21
Franklin,2172,370,164,32
Gibson,2671,1002,518,35
Giles,3081,1596,419,2
Grainger,841,741,900,0
Greene,2076,1650,1242,5
Grundy,529,122,87,121
Hamblen,722,427,325,18
Hamilton,4394,1493,2454,281
Hancock,427,659,84,0
Hardeman,1323,320,264,8
Hardin,738,955,592,32
Hawkins,1026,828,660,18
Haywood,1069,34,88,28
Henderson,738,473,947,19
Henry,2526,941,282,111
Hickman,1288,868,111,13
Houston,586,172,65,86
Humphreys,1283,343,189,30
Jackson,1344,743,251,0
James,202,169,408,0
Jefferson,514,540,940,9
Johnson,256,933,1025,0
Knox,4069,1984,3816,122
Lake,499,122,31,13
Lauderdale,1020,186,593,28
Lawrence,1504,878,783,48
Lewis,370,126,144,6
Lincoln,2651,672,98,10
Loudon,415,322,348,6
Macon,787,1251,183,11
Madison,2702,1036,316,80
Marion,810,463,442,74
Marshall,1551,376,87,11
Maury,2309,615,389,48
McMinn,912,667,557,17
McNairy,1155,616,1001,0
Meigs,517,337,163,1
Monroe,1136,721,475,4
Montgomery,1638,514,199,82
Moore,694,116,11,1
Morgan,466,312,841,35
Obion,2152,455,193,63
Overton,1531,743,181,66
Perry,664,379,94,42
Pickett,411,355,134,0
Polk,867,533,622,9
Putnam,1867,923,386,5
Rhea,692,253,552,28
Roane,570,482,826,70
Robertson,2287,513,142,125
Rutherford,3406,1217,280,64
Scott,160,123,1234,125
Sequatchie,354,139,83,39
Sevier,341,967,2410,1
Shelby,6732,589,2951,228
Smith,1863,915,184,0
Stewart,1312,485,54,197
Sullivan,2413,538,1265,12
Sumner,2477,769,89,61
Tipton,987,564,222,12
Trousdale,544,211,35,0
Unicoi,170,280,765,11
Union,404,307,1192,10
Van Buren,225,106,30,24
Warren,1745,339,250,16
Washington,1531,1134,1592,9
Wayne,435,971,390,9
Weakley,2810,1265,350,33
White,1222,330,279,57
Williamson,2205,797,62,9
Wilson,2325,682,292,6
