County,Democratic,Republican,Prohibition,Socialist,Communist
Anderson,1081,1605,9,2,0
Bedford,2264,630,2,2,0
Benton,1540,455,14,9,3
Bledsoe,1034,960,0,0,0
Blount,1515,3275,61,14,2
Bradley,1295,1570,24,9,4
Campbell,1834,2735,22,18,0
Cannon,1207,360,5,3,0
Carroll,2603,2505,25,15,8
Carter,1574,5055,0,0,0
Cheatham,1370,180,3,7,2
Chester,985,356,10,4,2
Claiborne,3518,1725,16,5,1
Clay,819,361,6,10,0
Cocke,1557,2324,23,7,4
Coffee,1950,430,13,5,2
Crockett,1934,513,10,10,0
Cumberland,996,957,11,0,0
Davidson,21233,7004,105,300,24
Decatur,1020,601,10,6,6
DeKalb,2323,1530,0,0,0
Dickson,2007,369,4,0,0
Dyer,3805,389,27,1,0
Fayette,1287,42,12,5,0
Fentress,961,1383,7,103,2
Franklin,3029,360,20,6,2
Gibson,3972,704,19,9,1
Giles,2773,619,9,12,4
Grainger,995,1325,22,6,5
Greene,4264,3223,35,10,0
Grundy,978,198,2,10,3
Hamblen,2032,1458,32,0,0
Hamilton,11469,7090,132,225,21
Hancock,551,1089,0,0,0
Hardeman,2377,281,16,3,3
Hardin,806,1036,5,4,0
Hawkins,2391,2890,16,5,0
Haywood,1788,77,16,1,0
Henderson,958,1058,5,6,2
Henry,2867,340,36,11,1
Hickman,1812,385,8,0,0
Houston,750,112,3,2,0
Humphreys,1455,231,5,8,4
Jackson,1726,256,3,1,0
Jefferson,975,2275,55,12,0
Johnson,425,2400,14,1,0
Knox,10755,9774,227,171,0
Lake,1824,78,0,0,0
Lauderdale,2137,174,18,19,2
Lawrence,3240,1684,19,5,0
Lewis,799,137,0,0,0
Lincoln,3095,288,38,7,1
Loudon,1629,1817,19,31,7
Macon,885,1123,7,3,0
Madison,4813,1124,65,27,0
Marion,2212,1406,0,0,0
Marshall,2167,283,20,0,0
Maury,3392,535,19,3,3
McMinn,2630,2790,38,35,2
McNairy,1961,1350,12,0,0
Meigs,840,564,4,0,0
Monroe,2954,1504,9,9,2
Montgomery,2747,799,0,0,0
Moore,923,65,7,1,0
Morgan,983,1184,9,9,0
Obion,3183,334,40,12,0
Overton,2231,661,7,4,2
Perry,705,182,3,2,1
Pickett,712,681,14,8,1
Polk,2540,1642,0,0,0
Putnam,2911,1281,10,7,5
Rhea,1550,1448,23,10,5
Roane,1625,2036,48,0,0
Robertson,2752,252,19,9,2
Rutherford,3924,606,11,9,0
Scott,1025,1890,5,18,2
Sequatchie,777,289,10,0,0
Sevier,887,3075,22,9,0
Shelby,38320,6332,96,417,44
Smith,2057,595,9,7,0
Stewart,1548,184,7,5,0
Sullivan,5322,2999,112,2,7
Sumner,3893,382,20,7,1
Tipton,2892,154,16,4,3
Trousdale,835,64,1,0,0
Unicoi,850,1716,0,0,0
Union,802,1169,12,0,0
Van Buren,613,196,20,1,3
Warren,2325,410,21,7,2
Washington,3345,3691,71,31,0
Wayne,543,1082,6,4,4
Weakley,3777,783,13,3,1
White,1938,390,9,4,0
Williamson,2777,261,23,19,7
Wilson,2713,567,15,3,0
