County,Democratic,Republican,Other
Anderson,2348,1805,60
Bedford,2428,514,19
Benton,1762,661,6
Bledsoe,1218,1178,23
Blount,3056,4119,24
Bradley,2806,2561,9
Campbell,2703,2814,5
Cannon,1166,498,6
Carroll,2989,2282,52
Carter,1837,4858,27
Cheatham,1352,183,8
Chester,1172,565,7
Claiborne,3036,2400,14
Clay,661,378,20
Cocke,1217,3731,6
Coffee,2148,408,14
Crockett,1921,525,4
Cumberland,1426,1409,14
Davidson,25530,4467,161
Decatur,1502,919,0
DeKalb,2947,2140,18
Dickson,2022,402,13
Dyer,3355,557,87
Fayette,1764,29,0
Fentress,743,1299,69
Franklin,3534,519,13
Gibson,4744,958,28
Giles,3760,600,18
Grainger,1153,1754,9
Greene,4708,4313,36
Grundy,1488,238,4
Hamblen,2438,2261,0
Hamilton,16568,6917,104
Hancock,960,1673,0
Hardeman,1869,157,3
Hardin,1538,1348,9
Hawkins,2278,3300,11
Haywood,1725,29,2
Henderson,1307,1380,66
Henry,3223,470,25
Hickman,1804,353,8
Houston,813,193,0
Humphreys,1279,297,3
Jackson,1702,422,4
Jefferson,1079,2356,13
Johnson,533,2882,0
Knox,19837,12183,100
Lake,3604,113,3
Lauderdale,3540,203,12
Lawrence,4773,3342,49
Lewis,1068,331,0
Lincoln,3451,430,7
Loudon,2146,2343,18
Macon,876,1402,12
Madison,6095,1223,32
Marion,2664,1770,0
Marshall,2431,300,8
Maury,3809,497,19
McMinn,4077,4310,45
McNairy,1742,1613,48
Meigs,994,740,13
Monroe,4106,3493,0
Montgomery,3314,838,28
Moore,719,101,5
Morgan,1291,1225,9
Obion,3728,417,0
Overton,1608,942,6
Perry,896,210,5
Pickett,454,651,15
Polk,2283,1755,24
Putnam,2619,1207,6
Rhea,2199,1964,38
Roane,2467,2757,11
Robertson,2629,388,39
Rutherford,4101,580,29
Scott,827,2012,8
Sequatchie,840,353,5
Sevier,1144,4126,38
Shelby,61504,2113,81
Smith,2092,626,8
Stewart,1718,303,7
Sullivan,6269,3492,34
Sumner,3146,517,3
Tipton,4683,116,0
Trousdale,765,72,2
Unicoi,879,1850,27
Union,963,1785,11
Van Buren,690,251,0
Warren,2304,553,13
Washington,4448,4788,58
Wayne,733,1304,4
Weakley,3254,928,30
White,814,591,9
Williamson,2769,286,4
Wilson,3108,539,3
