County,Democratic,Republican,Prohibition,Socialist
Anderson,3476,3424,6,14
Bedford,2651,733,14,9
Benton,1901,1195,21,7
Bledsoe,795,1187,0,0
Blount,2836,6193,21,17
Bradley,1312,2616,21,2
Campbell,2008,3244,3,15
Cannon,1002,627,1,0
Carroll,2077,2996,4,11
Carter,1662,4873,21,0
Cheatham,1398,216,2,0
Chester,1156,931,4,0
Claiborne,1649,2426,15,8
Clay,754,650,0,0
Cocke,989,3554,2,3
Coffee,2703,568,3,0
Crockett,1421,782,6,3
Cumberland,1174,1786,9,11
Davidson,26493,10174,60,33
Decatur,1515,1235,5,8
DeKalb,2341,2161,0,0
Dickson,2379,600,7,4
Dyer,3368,1190,18,0
Fayette,1417,172,2,0
Fentress,657,1696,13,10
Franklin,3958,600,13,2
Gibson,4632,1568,11,1
Giles,4249,751,0,0
Grainger,605,1938,3,4
Greene,2726,4922,17,0
Grundy,1462,406,10,9
Hamblen,1723,2001,0,0
Hamilton,17527,10379,78,189
Hancock,431,1929,4,0
Hardeman,1949,444,7,0
Hardin,1358,2124,11,7
Hawkins,1756,3692,8,2
Haywood,2522,208,1,0
Henderson,1009,2570,0,0
Henry,3111,702,14,4
Hickman,2223,618,4,1
Houston,976,248,0,0
Humphreys,1327,367,3,4
Jackson,1407,695,4,8
Jefferson,966,3159,12,6
Johnson,450,2699,9,0
Knox,18482,20742,78,150
Lake,1440,150,0,0
Lauderdale,3732,382,4,0
Lawrence,4662,4359,0,0
Lewis,955,252,0,0
Lincoln,3735,573,8,0
Loudon,1632,3147,3,5
Macon,701,2322,6,16
Madison,5706,1793,6,12
Marion,2666,1761,106,0
Marshall,3812,500,3,0
Maury,4814,747,11,7
McMinn,4435,3091,0,0
McNairy,1712,2697,0,0
Meigs,727,532,0,0
Monroe,3385,3424,5,5
Montgomery,2971,702,7,6
Moore,742,143,0,0
Morgan,1201,1399,0,0
Obion,3670,615,11,2
Overton,1449,935,3,2
Perry,771,387,0,0
Pickett,416,761,10,11
Polk,4842,378,1,5
Putnam,2788,1770,0,0
Rhea,1581,1880,0,0
Roane,1971,2711,14,3
Robertson,3074,622,6,6
Rutherford,4730,879,7,22
Scott,850,1971,5,6
Sequatchie,851,417,0,0
Sevier,711,4930,6,4
Shelby,48625,10839,40,40
Smith,2107,887,9,3
Stewart,1916,335,0,0
Sullivan,6290,5223,23,8
Sumner,4076,990,4,6
Tipton,4046,310,3,1
Trousdale,1170,131,1,2
Unicoi,779,1992,0,0
Union,627,1768,1,2
Van Buren,526,291,3,0
Warren,2560,848,13,8
Washington,4060,6485,31,26
Wayne,630,2185,3,2
Weakley,3434,1595,10,0
White,1339,668,4,0
Williamson,2656,602,8,2
Wilson,3148,942,0,0
