County,Democratic,Republican,States Rights,Progressive,Socialist
Anderson,5915,5372,433,53,64
Bedford,2393,771,1127,4,6
Benton,1757,908,116,6,1
Bledsoe,1092,1103,49,4,0
Blount,3141,6152,214,13,23
Bradley,2036,2942,164,6,4
Campbell,2267,2922,87,31,13
Cannon,1408,558,141,10,10
Carroll,2818,2651,606,52,46
Carter,1809,4943,179,13,24
Cheatham,2731,193,150,8,1
Chester,980,766,193,1,0
Claiborne,2068,2507,66,33,12
Clay,1146,703,46,5,1
Cocke,939,3576,72,18,9
Coffee,2041,599,933,11,17
Crockett,1415,601,615,5,4
Cumberland,1607,1988,95,9,22
Davidson,20877,8410,8103,169,84
Decatur,1565,1291,156,3,5
DeKalb,2412,1751,249,0,0
Dickson,2337,485,315,3,5
Dyer,3503,989,855,7,10
Fayette,226,66,1488,2,3
Fentress,962,1587,46,14,25
Franklin,2948,589,892,7,25
Gibson,3917,1137,905,6,6
Giles,3676,717,443,19,17
Grainger,644,1824,57,8,9
Greene,3282,4375,154,27,37
Grundy,2009,431,113,13,9
Hamblen,1552,2116,228,18,19
Hamilton,16968,10434,2571,150,66
Hancock,416,1598,38,2,11
Hardeman,1609,317,1364,3,7
Hardin,1270,1779,189,28,11
Hawkins,2019,3637,117,24,22
Haywood,1050,148,931,0,0
Henderson,1155,2278,205,5,0
Henry,3292,604,372,6,2
Hickman,2140,478,226,25,9
Houston,1159,202,88,1,5
Humphreys,1327,355,547,5,6
Jackson,1502,536,142,5,2
Jefferson,900,2979,121,9,10
Johnson,433,2413,47,6,9
Knox,15946,21074,1822,221,133
Lake,833,179,482,5,3
Lauderdale,2556,298,1007,7,11
Lawrence,4854,3837,373,13,7
Lewis,1148,381,88,14,5
Lincoln,2969,361,758,0,0
Loudon,1673,2605,200,19,18
Macon,738,1708,59,3,2
Madison,4722,1681,2586,1,7
Marion,2554,1738,153,16,6
Marshall,3059,517,691,10,18
Maury,2906,895,1792,20,22
McMinn,3016,4432,184,14,16
McNairy,2267,2390,286,16,10
Meigs,788,748,43,8,3
Monroe,3553,3905,73,6,9
Montgomery,3310,646,525,13,11
Moore,523,102,206,0,0
Morgan,1500,1570,10,5,0
Obion,3490,642,460,9,16
Overton,1835,917,118,23,12
Perry,1196,459,85,6,2
Pickett,566,849,19,3,0
Polk,1412,1529,26,19,4
Putnam,3134,1879,511,26,14
Rhea,1897,2077,159,11,7
Roane,2306,3236,218,15,6
Robertson,3044,376,514,6,6
Rutherford,4151,854,1017,23,33
Scott,972,2016,18,12,6
Sequatchie,907,420,41,3,2
Sevier,840,5049,70,39,5
Shelby,23854,14566,26396,229,131
Smith,1764,773,275,9,7
Stewart,1962,331,115,3,0
Sullivan,7626,6984,472,32,6
Sumner,3688,793,515,10,0
Tipton,3066,209,1394,8,4
Trousdale,1014,104,110,1,0
Unicoi,844,1927,81,7,2
Union,513,1603,19,16,5
Van Buren,636,298,39,4,1
Warren,2969,807,667,21,0
Washington,4023,7056,426,34,20
Wayne,820,1957,76,5,4
Weakley,3099,1310,418,11,3
White,1719,635,312,11,5
Williamson,2294,556,983,16,12
Wilson,3133,854,685,12,15
