County,Republican,Democratic,Prohibition,Progressive
Anderson,10489,8939,38,0
Bedford,2611,4362,0,0
Benton,1304,2452,16,0
Bledsoe,1229,1158,30,0
Blount,11708,5163,24,18
Bradley,4606,2646,9,8
Campbell,4557,2346,19,21
Cannon,930,1491,6,22
Carroll,3741,2841,23,21
Carter,9019,2707,118,0
Cheatham,536,2222,5,13
Chester,1674,1484,0,0
Claiborne,3221,2182,0,0
Clay,842,968,11,0
Cocke,5688,1247,0,0
Coffee,2110,3537,7,11
Crockett,1343,2155,7,4
Cumberland,3282,2059,81,71
Davidson,35916,51562,81,71
Decatur,1406,1681,13,0
DeKalb,1814,1949,0,0
Dickson,1415,4196,0,0
Dyer,3231,4531,61,0
Fayette,1029,1173,0,0
Fentress,2143,934,0,0
Franklin,2015,4786,29,4
Gibson,3766,6687,26,12
Giles,1649,4640,29,29
Grainger,3030,937,2,3
Greene,6864,3656,18,25
Grundy,709,2583,7,3
Hamblen,5031,2395,62,0
Hamilton,29681,23832,139,178
Hancock,1830,458,14,0
Hardeman,1256,2747,8,18
Hardin,2459,1677,12,0
Hawkins,5295,2404,13,53
Haywood,940,2432,9,0
Henderson,3317,1601,0,0
Henry,2421,5677,12,22
Hickman,1044,2625,4,6
Houston,465,1229,0,0
Humphreys,898,2670,1,0
Jackson,1138,1686,3,0
Jefferson,4622,1228,9,1
Johnson,3590,506,0,0
Knox,44358,26681,113,26
Lake,487,1475,6,7
Lauderdale,1390,4340,0,0
Lawrence,4561,4299,71,0
Lewis,540,1308,11,0
Lincoln,1654,4510,8,5
Loudon,4311,2138,17,15
Macon,2602,1158,0,0
Madison,7243,8623,30,23
Marion,2227,2938,12,13
Marshall,1525,3837,0,0
Maury,3582,7377,36,0
McMinn,5778,3440,18,25
McNairy,3426,2698,0,0
Meigs,850,754,2,19
Monroe,4581,3693,39,0
Montgomery,2573,5759,17,10
Moore,354,826,0,0
Morgan,2565,1492,0,0
Obion,2682,4623,32,8
Overton,1453,2209,6,13
Perry,762,1192,0,0
Pickett,1003,547,0,0
Polk,2283,1821,0,0
Putnam,3183,4096,0,0
Rhea,2520,2090,14,3
Roane,5583,3702,0,0
Robertson,1834,5063,0,0
Rutherford,3196,6793,24,48
Scott,3274,1161,0,0
Sequatchie,535,882,7,0
Sevier,7244,1066,0,0
Shelby,65170,71779,112,36
Smith,1412,2622,15,9
Stewart,641,2170,1,11
Sullivan,15596,11849,71,47
Sumner,2233,5674,40,0
Tipton,1312,5351,34,19
Trousdale,261,1236,0,0
Unicoi,3453,1163,0,0
Union,2087,667,0,0
Van Buren,393,674,10,11
Warren,1912,3568,21,12
Washington,12023,5245,43,36
Wayne,2439,1008,4,2
Weakley,3043,4198,34,0
White,1374,2319,13,8
Williamson,2326,4085,19,0
Wilson,2449,5070,0,0
