County,Republican,Democratic,National States Rights,Prohibition
Anderson,11153,9878,152,38
Bedford,2633,4457,62,0
Benton,1773,2030,120,0
Bledsoe,1439,981,24,8
Blount,13552,6213,67,40
Bradley,7865,3307,91,22
Campbell,5079,3134,63,21
Cannon,1195,1275,14,3
Carroll,4517,2961,117,14
Carter,12214,3412,94,78
Cheatham,683,1883,34,7
Chester,1807,1192,54,7
Claiborne,3888,2142,18,8
Clay,1098,976,32,0
Cocke,6581,1442,34,38
Coffee,3058,4555,66,7
Crockett,1467,1438,95,13
Cumberland,3523,2189,62,30
Davidson,52077,59649,666,205
Decatur,1684,1321,51,19
DeKalb,1440,1547,29,10
Dickson,1928,3930,33,3
Dyer,4097,3868,221,17
Fayette,1370,892,517,20
Fentress,2726,1014,37,15
Franklin,2041,5041,45,12
Gibson,5173,5796,330,30
Giles,1598,4879,24,12
Grainger,3017,939,12,9
Greene,8835,4406,20,15
Grundy,786,2143,19,12
Hamblen,7093,3122,30,0
Hamilton,39703,30482,959,133
Hancock,2107,438,7,0
Hardeman,1601,1711,288,4
Hardin,3323,1690,73,12
Hawkins,7010,2586,65,11
Haywood,1188,1867,258,21
Henderson,3597,1490,31,10
Henry,3033,5049,131,0
Hickman,1224,2401,38,24
Houston,366,1150,13,4
Humphreys,1126,2592,27,21
Jackson,1049,1539,10,38
Jefferson,6141,1620,28,5
Johnson,3854,571,13,5
Knox,50811,31990,413,86
Lake,732,1346,62,11
Lauderdale,1322,3462,48,0
Lawrence,5709,4862,47,21
Lewis,580,1723,4,5
Lincoln,1428,4862,30,18
Loudon,5356,2722,61,42
Macon,2829,915,38,0
Madison,8863,8083,717,30
Marion,2657,3124,76,8
Marshall,1717,3625,38,7
Maury,4133,6615,113,18
McMinn,6586,4111,70,0
McNairy,3310,2173,93,20
Meigs,901,691,7,6
Monroe,4991,3375,36,50
Montgomery,2550,7635,61,24
Moore,313,863,9,2
Morgan,2241,1576,38,0
Obion,3800,4244,122,30
Overton,1831,2389,23,9
Perry,645,1076,8,8
Pickett,1154,567,0,0
Polk,2187,1532,23,9
Putnam,4240,4443,32,0
Rhea,2721,1761,52,18
Roane,6540,4953,108,25
Robertson,1776,4053,46,16
Rutherford,4526,6410,91,25
Scott,3301,1098,3,9
Sequatchie,703,930,18,4
Sevier,7818,1341,27,6
Shelby,87191,86270,2956,190
Smith,1601,2411,36,12
Stewart,539,1810,31,6
Sullivan,22354,14731,139,374
Sumner,3491,6687,58,25
Tipton,1829,3853,211,24
Trousdale,308,1036,9,3
Unicoi,4004,1322,7,3
Union,2082,652,11,8
Van Buren,401,577,7,10
Warren,2682,3119,32,8
Washington,14851,6283,63,39
Wayne,2912,931,17,12
Weakley,3543,4488,78,0
White,1725,2207,35,31
Williamson,2699,4471,49,9
Wilson,3383,4857,49,8
