County,Democratic,Republican,American,Independent:Eugene_Joseph_McCarthy,Other
Anderson,13455,10494,60,150,83
Bedford,7228,3023,41,26,39
Benton,4088,1678,21,9,10
Bledsoe,1757,1620,9,7,8
Blount,12096,13851,71,92,130
Bradley,8776,9136,28,42,69
Campbell,5206,4277,29,15,30
Cannon,2463,908,15,5,8
Carroll,5581,4031,48,19,42
Carter,7443,8934,27,58,48
Cheatham,4225,1376,30,10,23
Chester,2532,1949,14,2,20
Claiborne,3461,3227,19,15,21
Clay,1671,982,14,5,6
Cocke,3141,5004,22,22,30
Coffee,8017,3848,48,55,37
Crockett,2963,1694,15,8,17
Cumberland,4543,4119,42,22,37
Davidson,99007,60662,529,785,615
DeKalb,2432,1637,15,12,20
Decatur,3222,1443,9,14,14
Dickson,6551,2285,32,15,39
Dyer,5937,4391,56,15,79
Fayette,3853,2133,19,11,24
Fentress,1953,1767,11,12,15
Franklin,6788,2619,27,37,53
Gibson,10356,5563,42,30,40
Giles,5225,1952,22,25,24
Grainger,2018,2805,12,10,18
Greene,7070,8664,53,50,43
Grundy,2850,850,12,2,7
Hamblen,7504,6989,49,35,51
Hamilton,45348,47969,306,304,494
Hancock,764,1309,7,1,9
Hardeman,3934,2254,25,13,44
Hardin,3438,3362,9,13,30
Hawkins,5931,6407,24,15,35
Haywood,3681,1952,13,5,10
Henderson,3366,4152,20,13,35
Henry,7162,2585,87,17,30
Hickman,3590,1154,28,8,7
Houston,1990,407,10,8,12
Humphreys,4021,1338,25,16,13
Jackson,2959,591,4,9,6
Jefferson,3995,5459,26,26,32
Johnson,1464,2986,11,6,11
Knox,53034,56013,367,600,395
Lake,1933,591,6,4,15
Lauderdale,4747,2105,15,4,6
Lawrence,7140,4967,33,24,26
Lewis,2391,617,11,8,9
Lincoln,5732,1724,31,14,17
Loudon,4683,4458,36,16,40
Macon,1951,2063,21,9,7
Madison,12989,11364,119,64,123
Marion,4615,2965,16,8,38
Marshall,4457,1674,53,9,16
Maury,8747,5327,91,41,59
McMinn,7020,6638,17,21,36
McNairy,4293,3388,17,6,32
Meigs,1254,975,1,6,6
Monroe,5368,5335,14,10,29
Montgomery,12310,5923,66,70,79
Moore,1101,331,7,2,7
Morgan,2953,1949,15,11,11
Obion,7204,2986,67,19,44
Overton,3897,1115,12,2,21
Perry,1660,520,6,6,9
Pickett,948,986,2,3,5
Polk,3284,1835,14,9,13
Putnam,8485,4079,34,60,50
Rhea,3735,3449,19,11,27
Roane,9216,7121,48,51,55
Robertson,7547,2505,36,15,11
Rutherford,14854,7921,95,107,105
Scott,2260,2432,13,14,11
Sequatchie,1733,1065,22,7,15
Sevier,3993,7608,102,49,62
Shelby,147893,128646,652,1086,1324
Smith,3753,1332,28,7,16
Stewart,2442,510,4,5,11
Sullivan,23353,22087,1003,164,155
Sumner,13848,7946,102,61,55
Tipton,5667,3329,31,19,26
Trousdale,1385,332,3,2,4
Unicoi,2526,3211,15,16,14
Union,1631,1801,6,10,9
Van Buren,1085,346,3,2,6
Warren,6666,2364,27,22,36
Washington,13951,14770,84,114,113
Wayne,1891,2597,10,8,5
Weakley,6605,2875,173,23,20
White,3874,1382,31,19,8
Williamson,8183,7880,114,54,35
Wilson,10537,4696,52,48,29
