County,Republican,Democratic,Independent:John_B_Anderson,Libertarian,Other
Anderson,14235,10194,1161,102,44
Bedford,3377,5987,159,40,20
Benton,2281,3811,71,30,0
Bledsoe,1970,1585,26,4,1
Blount,17959,9412,620,110,43
Bradley,11869,7638,316,68,14
Campbell,5537,4752,120,24,17
Cannon,1403,2351,41,11,11
Carroll,5681,5277,125,42,18
Carter,11648,6006,326,70,27
Cheatham,2296,3771,90,29,15
Chester,2751,2123,52,9,5
Claiborne,4289,2844,94,30,6
Clay,1344,1376,27,15,3
Cocke,6802,2139,139,38,26
Coffee,5454,7612,239,66,22
Crockett,2117,2422,27,18,4
Cumberland,6354,3775,227,51,29
Davidson,65772,103741,4834,938,321
DeKalb,1841,2948,48,19,12
Decatur,2095,2139,35,8,3
Dickson,3636,6622,157,37,15
Dyer,5475,5713,158,49,12
Fayette,2944,4141,75,24,11
Fentress,2493,1543,49,14,4
Franklin,3995,6760,251,59,25
Gibson,6792,9829,227,52,23
Giles,2757,4653,85,23,19
Grainger,3254,1495,66,24,9
Greene,10704,5822,338,64,28
Grundy,1139,2837,33,3,7
Hamblen,9741,5890,336,87,19
Hamilton,57575,41913,2087,374,143
Hancock,1734,704,32,10,7
Hardeman,2931,4153,73,19,29
Hardin,4152,3164,76,31,12
Hawkins,7836,5283,310,63,37
Haywood,2435,3445,49,11,3
Henderson,5108,2702,78,28,10
Henry,4299,6601,200,52,16
Hickman,1903,3225,78,17,7
Houston,738,1757,31,6,9
Humphreys,1897,3974,74,18,3
Jackson,995,2480,27,27,6
Jefferson,6944,3180,201,42,25
Johnson,3716,1141,66,22,10
Knox,66153,45634,4801,570,427
Lake,823,1718,11,3,8
Lauderdale,2818,4318,73,16,10
Lawrence,6532,6082,212,158,493
Lewis,1076,2190,33,5,5
Lincoln,2856,5387,119,34,13
Loudon,6382,3699,235,40,20
Macon,2925,1947,65,19,5
Madison,13667,12986,363,103,68
Marion,3902,4623,93,26,7
Marshall,2282,4277,78,24,5
Maury,6637,7957,225,134,77
McMinn,7825,5460,200,53,9
McNairy,4603,3801,76,25,9
Meigs,1278,999,31,6,2
Monroe,6246,4612,125,44,38
Montgomery,8503,11573,490,85,47
Moore,551,993,34,14,3
Morgan,2823,2094,70,21,7
Obion,5397,5766,138,34,30
Overton,1869,3343,38,15,2
Perry,783,1401,32,13,3
Pickett,1319,758,12,5,8
Polk,2414,2470,45,18,13
Putnam,6235,8084,342,66,26
Rhea,4689,3070,93,24,13
Roane,11096,6473,481,93,39
Robertson,3560,7381,127,45,13
Rutherford,11208,15213,703,153,73
Scott,3014,1724,63,17,14
Sequatchie,1512,1509,23,6,2
Sevier,10576,3450,338,48,27
Shelby,140157,159240,7180,1362,578
Smith,1755,3674,69,23,10
Stewart,985,2274,42,11,6
Sullivan,25963,22341,1874,196,96
Sumner,11876,14150,540,138,31
Tipton,4339,4934,109,16,3
Trousdale,629,1674,30,14,7
Unicoi,3828,1880,97,18,21
Union,2453,1435,45,12,6
Van Buren,499,886,11,4,4
Warren,3680,6021,148,41,14
Washington,17457,11599,934,173,86
Wayne,3418,1633,78,38,130
Weakley,5668,5910,136,51,6
White,2100,3415,64,28,6
Williamson,11597,8815,551,104,28
Wilson,7535,11248,380,92,19
