County,Republican,Democratic,Libertarian,Independent:David_Duke
Anderson,15056,9589,35,108
Bedford,4856,4046,9,28
Benton,2167,2826,1,15
Bledsoe,1858,1274,5,40
Blount,20027,9602,38,109
Bradley,15829,6122,16,64
Campbell,5197,4188,5,26
Cannon,1604,1726,4,14
Carroll,5635,4151,3,41
Carter,12036,4634,18,90
Cheatham,4132,3067,15,36
Chester,2781,1757,2,15
Claiborne,4071,2977,6,28
Clay,1291,1183,19,0
Cocke,5430,2115,9,25
Coffee,7837,5686,29,63
Crockett,2214,1742,14,0
Cumberland,7557,3964,22,51
Davidson,98599,89270,299,778
Decatur,2286,1880,7,18
DeKalb,2098,2452,6,25
Dickson,5343,5129,13,51
Dyer,6508,3690,5,40
Fayette,3573,3292,11,45
Fentress,3103,1856,2,31
Franklin,5381,5442,16,47
Gibson,8415,7542,16,65
Giles,3518,3918,10,32
Grainger,2734,1423,5,12
Greene,11947,5077,44,64
Grundy,1429,2415,13,0
Hamblen,10418,5061,27,59
Hamilton,68111,40990,157,451
Hancock,1303,737,8,34
Hardeman,3547,3526,13,52
Hardin,4252,2808,5,24
Hawkins,9356,5212,24,54
Haywood,2687,2923,3,27
Henderson,5418,2296,21,84
Henry,4784,5138,3,50
Hickman,2246,2643,14,15
Houston,882,1467,4,14
Humphreys,2132,3037,1,18
Jackson,1168,1962,5,9
Jefferson,6832,3168,13,56
Johnson,3715,1329,3,32
Knox,73092,41829,190,410
Lake,806,935,1,8
Lauderdale,3308,3296,4,31
Lawrence,6273,4903,7,0
Lewis,1324,1419,8,10
Lincoln,4288,3672,21,36
Loudon,7122,3480,14,63
Macon,2962,1538,5,26
Madison,16952,11001,3,83
Marion,4407,4175,6,30
Marshall,2975,2795,2,19
Maury,8397,6280,11,100
McMinn,8462,4568,19,29
McNairy,4625,3510,10,46
Meigs,1507,1048,2,11
Monroe,6355,4000,9,29
Montgomery,12599,9145,24,88
Moore,786,731,3,10
Morgan,2576,1941,2,27
Obion,6037,4785,8,28
Overton,1873,2511,1,12
Perry,854,1208,3,11
Pickett,1118,634,4,0
Polk,2297,2073,3,18
Putnam,9547,6606,24,108
Rhea,5144,2595,6,31
Roane,10881,6535,6,75
Robertson,5714,5884,12,62
Rutherford,20397,12245,34,125
Scott,2562,1611,3,17
Sequatchie,1659,1196,2,12
Sevier,11920,3643,13,55
Shelby,157457,149759,375,1397
Smith,2138,2522,2,24
Stewart,1302,1979,2,13
Sullivan,32996,17396,33,552
Sumner,19523,11702,41,123
Tipton,6052,3824,6,36
Trousdale,969,1193,1,10
Unicoi,3664,1794,5,23
Union,2110,1431,3,20
Van Buren,780,796,4,0
Warren,4529,4646,5,38
Washington,19615,10087,63,122
Wayne,3405,1516,3,27
Weakley,5701,4239,15,34
White,2646,2562,10,31
Williamson,20847,7864,52,60
Wilson,13317,8360,24,92
