County,Democratic,Republican,Reform,Other
Anderson,13457,11943,1817,299
Bedford,5735,4634,823,92
Benton,4341,2395,663,51
Bledsoe,1621,1626,251,34
Blount,14687,19310,2556,377
Bradley,9095,15478,1856,199
Campbell,6122,4393,785,85
Cannon,2318,1468,361,38
Carroll,4912,4206,697,34
Carter,6218,10540,1383,141
Cheatham,4883,4283,705,93
Chester,1922,2746,203,30
Claiborne,3861,4023,727,68
Clay,1559,1108,316,23
Cocke,3326,4481,798,86
Coffee,7951,7038,1205,107
Crockett,2256,1872,201,13
Cumberland,6676,8096,1399,176
Davidson,110805,78453,9018,2106
Decatur,2262,1712,229,51
DeKalb,3213,1696,342,21
Dickson,7458,5283,996,92
Dyer,5602,5059,676,37
Fayette,4655,4406,416,42
Fentress,2332,2307,386,31
Franklin,6929,5296,1057,97
Gibson,8851,6614,891,72
Giles,4948,3269,733,80
Grainger,2162,2875,382,34
Greene,6885,9779,1604,148
Grundy,2596,1094,326,31
Hamblen,7006,9797,1106,190
Hamilton,48008,55205,6699,325
Hancock,760,1259,116,19
Hardeman,4859,2961,346,65
Hardin,3508,3980,594,35
Hawkins,6367,8164,1282,128
Haywood,3565,2293,154,18
Henderson,2841,4002,408,31
Henry,6153,4272,992,84
Hickman,3917,2002,460,39
Houston,1868,742,182,25
Humphreys,3675,1892,423,30
Jackson,2889,944,289,39
Jefferson,4688,6446,882,139
Johnson,1698,3137,489,35
Knox,61158,70761,6402,1724
Lake,1273,589,110,10
Lauderdale,4349,2481,308,26
Lawrence,6188,6115,973,83
Lewis,1971,1298,316,13
Lincoln,4361,4551,761,74
Loudon,5552,7098,889,192
Macon,2240,2481,421,24
Madison,13577,14908,968,112
Marion,5194,3166,768,63
Marshall,4447,2781,603,82
Maury,10367,8737,1366,104
McMinn,5987,7655,1033,109
McNairy,4050,3960,519,47
Meigs,1476,1228,245,19
Monroe,4872,5257,713,86
Montgomery,16498,15133,1781,213
Moore,935,846,177,22
Morgan,2767,2070,446,41
Obion,6226,4310,932,68
Overton,3800,1756,431,45
Perry,1444,747,178,17
Pickett,901,1046,116,8
Polk,2450,1910,377,33
Putnam,10047,9093,1487,261
Rhea,3969,4476,694,49
Roane,9744,9044,1438,259
Robertson,8465,6685,993,86
Rutherford,22815,24565,3787,427
Scott,2506,2646,431,54
Sequatchie,1598,1391,288,21
Sevier,7136,11847,1650,213
Shelby,179663,136315,8307,2095
Smith,3812,1857,346,42
Stewart,2962,1306,386,46
Sullivan,20571,29296,3555,415
Sumner,19205,20863,2783,303
Tipton,6596,7585,799,71
Trousdale,1615,683,190,11
Unicoi,2131,3122,447,55
Union,2421,2253,385,52
Van Buren,1010,504,128,21
Warren,6389,4226,917,101
Washington,13259,18960,2237,384
Wayne,1574,2715,323,38
Weakley,5657,4622,872,63
White,3592,2498,505,40
Williamson,15231,27699,2071,375
Wilson,13655,13817,1841,230
