County,Democratic,Republican,Libertarian,Green,Reform,Independent:Cathy_Gordon_Brown,Natural Law,Independent:Howard_Phillips,Independent:Randall_Venson,Write_Ins
Anderson,13556,14688,79,316,76,26,10,16,3,9
Bedford,6136,5911,28,80,16,13,4,17,2,0
Benton,3700,2484,12,62,37,8,3,4,1,0
Bledsoe,1756,2380,5,35,14,6,0,0,0,0
Blount,14688,25273,117,379,117,28,14,34,4,8
Bradley,8768,20167,64,271,109,34,5,18,4,3
Campbell,6492,5784,15,74,37,11,2,1,5,0
Cannon,2697,1924,12,45,14,3,0,2,0,0
Carroll,5239,5465,11,65,32,10,0,3,2,0
Carter,6724,12111,38,157,48,17,4,2,1,0
Cheatham,6062,6356,27,139,19,5,4,4,0,0
Chester,2192,3487,3,25,16,2,1,0,2,0
Claiborne,3841,5023,25,60,28,13,3,3,2,2
Clay,1931,1468,4,19,11,4,2,1,2,0
Cocke,3872,6185,28,93,28,21,3,6,3,0
Coffee,8741,8788,38,151,41,19,1,4,2,3
Crockett,2705,2676,0,42,14,3,0,0,0,0
Cumberland,7644,10994,32,223,96,10,2,11,4,1
Davidson,120508,84117,529,2920,216,118,77,41,22,40
Decatur,2278,2046,4,22,16,2,1,0,1,0
Dekalb,3765,2411,10,63,5,8,1,0,0,2
Dickson,8332,7016,37,120,25,20,2,3,1,0
Dyer,5425,6282,5,88,19,10,3,7,2,0
Fayette,5037,6402,15,44,19,6,2,4,0,0
Fentress,2529,3417,5,28,27,17,1,4,1,0
Franklin,7828,6560,27,190,29,21,9,25,2,0
Gibson,8663,8286,13,101,56,12,4,2,0,0
Giles,5527,4377,22,79,37,15,3,5,1,0
Grainger,2361,3746,8,46,15,11,2,4,1,0
Greene,7909,12540,49,185,52,33,16,24,8,0
Grundy,2970,1553,5,37,15,3,2,3,1,7
Hamblen,7564,11824,48,181,53,14,3,6,6,0
Hamilton,51708,66605,306,1290,265,57,34,44,12,58
Hancock,690,1343,12,17,11,0,1,1,0,0
Hardeman,4953,3729,14,38,30,18,7,9,4,1
Hardin,3735,4951,4,49,14,8,2,0,3,16
Hawkins,6753,10071,40,147,47,18,2,9,7,4
Haywood,3887,2554,2,20,7,3,2,2,1,0
Henderson,3166,5153,6,46,20,6,2,0,0,0
Henry,6093,5944,22,125,55,14,3,11,1,41
Hickman,4239,2914,11,58,20,3,1,3,4,11
Houston,2081,993,9,16,11,12,2,2,1,0
Humphreys,4205,2387,10,65,10,1,1,1,0,1
Jackson,3304,1384,10,36,10,5,2,2,1,0
Jefferson,5226,8657,22,121,38,8,2,10,2,1
Johnson,1813,3740,13,54,12,12,6,7,0,0
Knox,60969,86851,501,1772,306,79,46,43,11,8
Lake,1419,781,4,11,6,0,0,1,2,0
Lauderdale,4224,3329,3,27,21,7,2,3,2,0
Lawrence,6643,7613,19,98,48,21,14,14,0,0
Lewis,2281,2037,4,63,18,7,1,7,2,0
Lincoln,5060,5435,21,72,36,9,2,6,0,18
Loudon,5905,10266,44,132,38,13,3,5,0,0
Macon,3059,3366,10,30,10,7,4,1,4,0
Madison,15781,17862,31,173,48,17,4,12,2,0
Marion,5441,4651,17,74,50,7,1,4,5,0
Marshall,5107,4105,19,94,22,5,2,3,0,2
Maury,11127,11930,49,207,37,16,4,8,5,17
Mcminn,6142,10155,57,142,67,22,8,7,0,0
Mcnairy,4003,4897,9,47,23,6,0,2,2,0
Meigs,1555,1797,6,12,12,2,3,1,0,2
Monroe,5327,7514,18,78,40,12,3,10,0,1
Montgomery,18818,19644,72,359,81,35,11,15,4,5
Moore,1107,1145,6,27,7,3,2,2,2,0
Morgan,2921,3144,6,39,27,4,2,7,0,12
Obion,6056,6168,19,99,62,13,7,10,6,0
Overton,4507,2875,12,46,29,12,5,10,0,0
Perry,1650,1165,7,28,8,3,0,1,3,1
Pickett,939,1281,2,12,2,2,0,1,0,0
Polk,2574,2907,10,46,48,6,0,2,1,0
Putnam,10785,11248,61,228,57,26,8,15,6,4
Rhea,3722,5900,16,74,32,17,6,0,3,2
Roane,9575,11345,60,211,97,15,10,9,4,0
Robertson,10249,9675,28,148,39,14,5,4,2,0
Rutherford,27360,33445,143,1024,110,48,12,29,11,0
Scott,2967,3579,7,31,22,5,0,3,0,1
Sequatchie,1648,2169,3,37,23,3,0,3,1,0
Sevier,8208,16734,65,259,64,24,4,4,3,0
Shelby,190404,141756,469,2860,299,199,115,235,295,123
Smith,4884,2384,7,42,21,5,1,3,1,0
Stewart,2870,1826,10,50,15,10,0,1,0,0
Sullivan,21354,33482,137,520,80,55,21,65,6,7
Sumner,22118,27601,109,482,86,36,13,23,4,5
Tipton,6300,10070,29,96,25,17,3,10,2,0
Trousdale,1966,950,1,15,4,2,1,5,1,0
Unicoi,2566,3780,13,40,12,9,5,1,1,2
Union,2564,3199,8,30,14,3,2,0,0,1
Van Buren,1255,845,5,8,10,6,1,1,0,0
Warren,7378,5552,28,105,31,25,4,5,3,0
Washington,14769,22579,94,375,64,14,12,19,11,5
Wayne,1859,3370,7,43,20,3,0,2,0,2
Weakley,5570,6106,12,91,44,8,3,9,1,0
White,4135,3525,14,58,29,12,0,1,1,0
Williamson,18745,38901,141,536,50,15,6,30,5,0
Wilson,16561,18844,75,308,69,39,6,8,4,2
