County,Democratic,Republican,Libertarian,Independent:Ralph_Nader,Constitution,Socialist,Green
Anderson,12896,18510,76,147,53,0,0
Bedford,5268,8351,21,54,12,0,0
Benton,3869,3161,10,34,16,0,0
Bledsoe,1927,2849,10,13,1,0,9
Blount,15047,33241,134,204,86,0,0
Bradley,9431,25951,80,132,43,0,0
Campbell,6163,7859,30,54,12,0,0
Cannon,2515,2931,8,22,5,0,0
Carroll,5070,6605,17,56,9,0,0
Carter,6395,15768,24,100,25,0,1
Cheatham,5918,9676,28,56,19,0,0
Chester,2242,4086,6,18,5,0,0
Claiborne,4034,6448,15,31,12,0,0
Clay,1675,1650,14,15,3,0,0
Cocke,3935,8297,19,50,10,0,0
Coffee,8243,11793,37,70,24,0,0
Crockett,2459,3242,7,12,2,0,0
Cumberland,8327,15144,45,86,35,0,0
Davidson,132737,107839,500,991,222,2,11
Decatur,2268,2566,4,25,16,0,0
Dekalb,3445,3685,8,32,3,0,0
Dickson,8597,10567,38,78,18,0,0
Dyer,5287,8447,13,55,7,0,0
Fayette,5696,8962,24,39,16,0,0
Fentress,2371,4293,7,24,5,0,0
Franklin,7800,9129,39,82,27,0,0
Gibson,8511,10596,27,72,15,0,0
Giles,5273,6163,23,66,12,0,0
Grainger,2569,4907,19,27,5,0,0
Greene,7635,16382,44,99,34,0,0
Grundy,2789,2107,6,19,7,0,1
Hamblen,7433,14742,40,89,14,0,0
Hamilton,57302,78547,457,506,120,3,1
Hancock,777,1756,4,7,6,0,1
Hardeman,5685,4704,20,33,24,0,0
Hardin,3834,6087,7,22,4,0,0
Hawkins,6684,13447,19,64,19,0,0
Haywood,4359,3140,21,24,4,0,0
Henderson,3448,6585,15,39,9,0,0
Henry,5732,7340,16,64,25,0,0
Hickman,4263,4359,12,26,13,0,0
Houston,2126,1440,11,17,4,0,0
Humphreys,4485,3261,13,25,9,0,0
Jackson,2998,2026,7,14,11,0,0
Jefferson,5469,11625,26,73,22,0,0
Johnson,1812,4634,6,20,8,0,0
Knox,66013,110803,695,701,207,0,0
Lake,2634,2078,2,16,10,0,0
Lauderdale,4474,4164,12,26,6,0,0
Lawrence,6592,9959,27,57,23,0,0
Lewis,2192,2819,3,31,9,0,0
Lincoln,4546,7829,29,31,22,0,0
Loudon,5708,14041,41,57,17,0,0
Macon,2738,4670,7,18,0,0,0
Madison,16840,21679,33,92,31,0,0
Marion,5548,5862,24,45,13,0,0
Marshall,4722,5825,16,45,7,0,0
Maury,12379,17505,42,94,23,0,0
Mcminn,5891,11980,34,79,19,0,0
Mcnairy,4101,5787,2,30,4,0,0
Meigs,1595,2500,9,21,7,0,0
Monroe,5354,10123,19,53,19,0,0
Montgomery,20070,28627,69,191,39,0,2
Moore,1084,1668,9,8,5,0,0
Morgan,2924,4401,12,18,5,0,0
Obion,5549,7859,27,65,35,0,0
Overton,4518,3941,14,27,10,0,0
Perry,1579,1522,11,25,13,0,0
Pickett,1033,1600,2,10,0,0,0
Polk,2724,3924,13,27,12,0,0
Putnam,10566,15637,62,131,46,0,0
Rhea,3665,7301,28,43,17,0,0
Roane,8706,14467,51,87,27,0,0
Robertson,9865,15331,16,87,24,0,0
Rutherford,31647,52200,146,343,71,0,2
Scott,3086,4509,12,21,0,0,0
Sequatchie,1986,2951,13,21,11,0,1
Sevier,8621,22143,58,117,30,0,1
Shelby,216945,158137,678,1207,315,0,0
Smith,4044,3739,10,26,9,0,0
Stewart,2860,2675,7,33,7,0,1
Sullivan,19637,42555,121,218,107,0,1
Sumner,21458,40181,70,213,46,0,0
Tipton,7379,14178,32,75,13,0,0
Trousdale,1851,1314,5,9,12,0,0
Unicoi,2374,5030,18,31,10,0,0
Union,2524,4145,19,16,6,0,0
Van Buren,1209,1120,8,9,1,0,0
Warren,6808,7503,17,60,12,0,0
Washington,14944,29735,101,176,50,0,0
Wayne,1951,3999,4,17,11,1,1
Weakley,5588,7817,13,56,22,0,0
White,4147,5269,17,49,13,0,0
Williamson,21732,57451,135,251,81,0,0
Wilson,15277,28924,66,143,42,0,0
