County,Republican,Democratic,Constitution,Green,Justice,Libertarian,American Third Position
Anderson,18968,10122,101,88,54,301,25
Bedford,10034,4211,49,39,17,90,5
Benton,3850,2258,20,20,14,58,6
Bledsoe,3022,1267,22,3,6,32,7
Blount,35441,12934,119,126,56,536,22
Bradley,27422,8037,103,69,30,274,28
Campbell,8604,3328,53,24,21,58,13
Cannon,3309,1564,19,27,11,41,2
Carroll,7225,3475,33,28,12,63,15
Carter,15503,4789,61,62,25,165,12
Cheatham,10268,4659,38,42,26,131,18
Chester,4684,1624,15,20,11,52,4
Claiborne,7617,2433,24,17,19,58,10
Clay,1747,1037,5,2,4,22,3
Cocke,8459,2804,44,31,19,83,14
Coffee,13023,5870,65,47,28,188,38
Crockett,3783,1669,10,5,5,23,3
Cumberland,18653,6261,65,86,26,141,15
Davidson,97622,143120,394,1032,243,2252,210
Decatur,2874,1303,16,6,8,39,5
Dekalb,4143,2174,21,21,6,56,1
Dickson,11296,6233,63,56,24,144,19
Dyer,9921,3757,30,23,14,45,10
Fayette,12689,6688,38,21,21,110,7
Fentress,5243,1561,21,19,15,30,6
Franklin,10262,5603,74,44,17,107,12
Gibson,12883,6564,45,31,18,118,8
Giles,6915,3760,36,18,14,52,4
Grainger,5470,1668,18,19,10,62,5
Greene,17245,6225,104,69,30,175,39
Grundy,2516,1643,27,7,9,30,5
Hamblen,14522,5234,58,45,25,140,8
Hamilton,79933,58836,283,408,120,1528,73
Hancock,1527,475,1,6,1,34,2
Hardeman,4865,5482,22,12,10,40,8
Hardin,7886,2467,20,15,31,66,10
Hawkins,14382,5088,85,45,25,148,24
Haywood,2960,4569,12,7,6,14,1
Henderson,7421,2517,28,19,11,48,11
Henry,8193,4339,70,37,19,74,7
Hickman,4758,2698,51,25,9,54,7
Houston,1579,1400,12,7,8,17,4
Humphreys,3833,2905,19,27,11,56,12
Jackson,2383,1739,17,15,1,27,2
Jefferson,13038,4232,61,45,23,149,11
Johnson,4611,1483,31,20,3,39,7
Knox,109707,59399,464,656,175,1989,117
Lake,1163,884,12,3,9,11,5
Lauderdale,4616,4011,16,12,8,19,7
Lawrence,10770,4237,83,29,21,64,15
Lewis,3117,1447,11,41,13,57,8
Lincoln,9803,3290,36,24,22,73,20
Loudon,16707,5058,46,33,28,181,20
Macon,5260,1552,34,18,2,32,7
Madison,21993,18367,55,47,32,191,17
Marion,6272,3953,39,33,23,77,12
Marshall,6832,3725,55,36,23,64,6
Maury,20708,11825,92,76,50,212,43
Mcminn,12967,4609,60,27,23,135,13
Mcnairy,7015,2645,29,24,15,58,16
Meigs,2734,1163,17,16,3,26,5
Monroe,11731,4372,54,41,24,101,15
Montgomery,30245,24499,135,149,56,466,34
Moore,2053,705,11,5,1,19,5
Morgan,4669,1725,28,16,10,45,11
Obion,8814,3321,33,26,19,68,16
Overton,4775,2805,21,19,8,30,6
Perry,1578,992,11,5,10,22,3
Pickett,1712,712,2,7,5,13,2
Polk,4108,1856,19,12,13,44,7
Putnam,17254,7802,79,95,43,211,16
Rhea,7802,2628,50,17,13,74,6
Roane,14724,6018,72,50,30,172,24
Robertson,17643,8290,66,57,30,184,19
Rutherford,60846,36414,210,298,83,946,51
Scott,5117,1452,31,19,9,38,2
Sequatchie,3541,1489,23,9,7,68,5
Sevier,25984,7418,73,89,39,213,48
Shelby,135649,232443,411,679,252,1537,138
Smith,4495,2470,40,20,14,37,11
Stewart,2963,2069,23,23,6,29,2
Sullivan,43562,15321,192,115,70,590,37
Sumner,46003,18579,125,153,48,419,39
Tipton,16672,7133,59,34,25,148,10
Trousdale,1612,1240,16,7,2,22,6
Unicoi,5032,1913,40,27,10,59,5
Union,4282,1478,17,13,12,26,0
Van Buren,1386,875,6,5,3,22,3
Warren,8010,4752,68,37,23,108,17
Washington,32808,14325,184,188,58,451,18
Wayne,4253,1163,19,10,7,28,6
Weakley,8605,3548,38,28,26,77,15
White,6197,2795,37,22,11,68,10
Williamson,69850,25142,160,217,66,748,42
Wilson,36109,14695,117,113,43,381,41
