County,Republican,Democratic,Libertarian,Green,Independent:Mike_Smith,Independent:Evan_McMullin,Reform,Socialist Workers,Constitution,Independent:Kyle_Kenley_Kopitke,Independent:Laurence_Kotlikoff,Independent:David_Limbaugh,Independent:Marshall_Schoenke,Independent:Cherunda_Fox,Americas
Anderson,19212,9013,1034,189,174,115,74,42,28,0,0,0,0,0,0
Bedford,11486,3395,306,75,47,8,25,8,5,0,0,0,0,0,0
Benton,4716,1474,83,14,11,3,12,13,2,0,0,0,0,0,0
Bledsoe,3622,897,95,18,9,10,7,4,2,0,0,0,0,0,0
Blount,37443,12100,1666,313,250,227,83,72,51,0,0,1,0,1,1
Bradley,29768,7070,1098,210,143,236,66,44,29,0,0,0,0,1,1
Campbell,9870,2248,251,45,43,13,32,25,5,0,0,0,0,0,0
Cannon,4007,1127,106,29,18,9,8,7,3,0,0,0,0,0,0
Carroll,7756,2327,181,39,18,19,22,20,2,0,0,0,0,0,0
Carter,16898,3453,409,130,54,64,30,20,26,0,0,0,0,0,0
Cheatham,11297,3878,463,99,50,90,26,13,8,0,0,0,0,0,0
Chester,5081,1243,115,10,12,33,5,4,4,0,0,0,0,0,0
Claiborne,8602,1832,192,29,27,16,16,24,2,0,0,0,0,0,0
Clay,2141,707,47,11,10,0,2,2,0,0,0,0,0,0,0
Cocke,9791,1981,211,59,27,13,21,19,2,0,0,0,0,0,2
Coffee,14417,4743,517,113,62,54,32,23,9,0,0,0,0,0,1
Crockett,3982,1303,76,13,8,4,7,3,1,0,0,0,0,0,0
Cumberland,20413,5202,471,99,53,41,37,26,17,0,0,0,0,0,1
Davidson,84550,148864,9603,2459,619,2139,412,304,106,0,2,4,0,0,6
Decatur,3588,894,70,16,8,5,5,4,2,0,0,0,0,0,0
Dekalb,5171,1569,117,49,29,4,10,6,0,0,0,0,0,0,0
Dickson,13233,4722,489,94,58,41,32,18,9,0,0,0,0,0,3
Dyer,10180,2816,193,48,27,37,19,13,3,0,0,0,0,0,0
Fayette,13055,5874,261,62,37,49,19,16,21,0,0,0,0,0,0
Fentress,6038,1100,107,37,11,14,10,14,1,0,0,1,0,0,0
Franklin,11532,4374,319,66,36,25,28,16,7,0,1,0,0,0,0
Gibson,13786,5258,305,66,36,43,26,18,8,0,0,1,0,0,0
Giles,7970,2917,162,41,11,8,16,11,1,0,0,0,0,0,0
Grainger,6626,1154,130,26,28,11,17,12,4,0,0,0,0,0,0
Greene,18562,4216,481,152,56,44,28,29,14,0,0,1,0,0,0
Grundy,3636,999,80,19,13,2,11,3,0,0,0,0,0,0,0
Hamblen,15857,4075,443,93,73,85,30,27,8,0,1,0,0,0,0
Hamilton,78733,55316,5443,1098,349,1058,147,138,121,0,0,3,2,0,0
Hancock,1843,322,42,13,5,1,4,1,0,0,0,0,0,0,0
Hardeman,4919,4185,84,30,13,4,18,11,9,0,0,0,0,0,0
Hardin,8012,1622,134,96,48,0,15,22,0,0,0,0,0,0,0
Hawkins,16648,3507,397,91,52,26,31,12,7,0,0,0,0,0,3
Haywood,3013,3711,60,19,10,0,11,10,0,0,0,0,0,0,0
Henderson,8138,1800,172,39,27,18,13,9,1,0,0,0,0,0,0
Henry,9508,3063,223,60,27,27,18,15,4,0,0,0,0,0,0
Hickman,5695,1824,161,39,15,22,20,19,18,0,0,0,0,0,0
Houston,2182,866,88,12,7,0,9,4,0,0,0,0,0,0,0
Humphreys,4930,1967,166,26,23,7,17,12,5,0,0,0,0,0,0
Jackson,3236,1129,62,17,7,11,2,1,1,0,0,0,0,0,0
Jefferson,14776,3494,497,115,76,49,34,22,8,0,0,0,0,0,1
Johnson,5410,988,102,39,9,7,11,7,6,0,0,0,0,0,0
Knox,105767,62878,7458,1634,986,1223,382,227,122,0,8,3,0,0,9
Lake,1357,577,18,6,6,0,5,1,0,0,0,0,0,0,0
Lauderdale,4884,3056,87,14,10,4,14,13,4,0,0,0,0,0,1
Lawrence,12420,2821,271,77,36,3,21,13,2,0,0,0,0,0,2
Lewis,3585,890,59,42,9,4,14,8,10,0,0,1,0,0,0
Lincoln,10398,2554,231,46,39,42,19,13,6,0,0,0,0,0,0
Loudon,17610,4919,573,87,77,48,41,22,5,0,0,0,0,3,6
Macon,6263,1072,91,36,18,8,10,4,2,0,0,0,0,0,0
Madison,21335,15448,660,140,86,312,77,42,19,0,0,1,0,0,0
Marion,7696,2832,221,50,22,10,18,13,0,0,0,0,0,0,0
Marshall,8184,2852,256,60,34,18,23,16,10,0,0,0,0,0,2
Maury,23799,10038,922,166,90,227,50,35,37,0,0,0,0,0,5
Mcminn,14691,3510,340,69,36,29,50,20,9,0,0,0,0,0,1
Mcnairy,7841,1848,150,110,62,0,7,20,0,0,0,0,0,0,0
Meigs,3342,856,77,19,16,2,2,4,2,0,0,0,0,0,0
Monroe,13374,3186,345,58,53,12,31,19,12,0,0,0,0,0,3
Montgomery,32341,21699,2337,540,172,244,133,91,60,0,0,1,0,0,2
Moore,2325,496,71,17,8,0,7,2,0,0,0,0,0,0,0
Morgan,5441,1054,115,17,28,5,13,9,23,0,0,0,0,0,0
Obion,9526,2426,193,36,18,23,6,20,1,0,0,0,0,0,0
Overton,6059,1945,111,31,29,18,15,11,5,0,2,0,0,0,3
Perry,2167,597,59,23,2,0,3,4,0,0,0,0,0,0,0
Pickett,2021,536,36,7,8,2,1,2,2,0,0,0,0,0,0
Polk,5097,1252,114,26,23,0,4,4,0,0,0,0,0,0,0
Putnam,19002,6851,757,225,87,163,39,24,33,0,0,0,1,0,30
Rhea,8660,1942,221,35,53,94,32,13,12,0,0,0,0,0,0
Roane,15880,4837,596,102,87,0,60,40,67,0,0,0,0,0,0
Robertson,19410,6637,717,161,64,44,50,23,4,0,0,1,0,0,2
Rutherford,64515,36706,3916,894,360,638,172,133,65,0,0,30,0,0,7
Scott,6044,934,80,21,28,0,10,6,0,0,0,0,0,0,0
Sequatchie,4441,1053,128,25,17,14,9,4,3,0,0,0,0,0,0
Sevier,28629,6297,915,212,78,93,37,36,13,0,0,0,0,0,2
Shelby,116344,208992,6939,1986,619,1398,540,358,195,0,1,0,0,1,10
Smith,5494,1689,171,30,19,7,6,11,7,0,0,1,0,0,1
Stewart,3864,1222,147,21,12,12,13,4,4,0,0,0,0,0,0
Sullivan,46979,12578,1793,355,170,171,96,73,54,0,0,0,0,0,9
Sumner,50129,18161,2102,369,176,367,102,75,22,0,0,0,0,0,2
Tipton,16910,5785,485,90,53,63,40,33,22,0,0,0,0,0,0
Trousdale,2103,946,73,6,4,5,10,8,5,0,0,0,0,0,0
Unicoi,5671,1262,139,53,27,17,8,14,4,0,0,0,0,0,0
Union,5053,1012,108,24,19,10,11,8,2,0,0,0,0,0,0
Van Buren,1820,539,46,8,1,1,2,1,1,0,0,0,0,0,0
Warren,9540,3535,339,61,41,33,35,19,7,0,0,2,0,0,0
Washington,34252,13024,1468,478,152,207,82,53,34,0,0,0,0,0,0
Wayne,5036,717,56,9,12,8,11,3,5,0,0,0,0,0,0
