County,Al_Gore,George_Bush,Cathy_Gordon_Brown,Harry_Browne,Patrick_Buchanan,John_Hagelin,Ralph_Nader,Howard_Phillips,Randall_Venson,Write_Ins
Anderson,13556,14688,26,79,76,10,316,16,3,9
Bedford,6136,5911,13,28,16,4,80,17,2,0
Benton,3700,2484,8,12,37,3,62,4,1,0
Bledsoe,1756,2380,6,5,14,0,35,0,0,0
Blount,14688,25273,28,117,117,14,379,34,4,8
Bradley,8768,20167,34,64,109,5,271,18,4,3
Campbell,6492,5784,11,15,37,2,74,1,5,0
Cannon,2697,1924,3,12,14,0,45,2,0,0
Carroll,5239,5465,10,11,32,0,65,3,2,0
Carter,6724,12111,17,38,48,4,157,2,1,0
Cheatham,6062,6356,5,27,19,4,139,4,0,0
Chester,2192,3487,2,3,16,1,25,0,2,0
Claiborne,3841,5023,13,25,28,3,60,3,2,2
Clay,1931,1468,4,4,11,2,19,1,2,0
Cocke,3872,6185,21,28,28,3,93,6,3,0
Coffee,8741,8788,19,38,41,1,151,4,2,3
Crockett,2705,2676,3,0,14,0,42,0,0,0
Cumberland,7644,10994,10,32,96,2,223,11,4,1
Davidson,120508,84117,118,529,216,77,2920,41,22,40
Decatur,2278,2046,2,4,16,1,22,0,1,0
Dekalb,3765,2411,8,10,5,1,63,0,0,2
Dickson,8332,7016,20,37,25,2,120,3,1,0
Dyer,5425,6282,10,5,19,3,88,7,2,0
Fayette,5037,6402,6,15,19,2,44,4,0,0
Fentress,2529,3417,17,5,27,1,28,4,1,0
Franklin,7828,6560,21,27,29,9,190,25,2,0
Gibson,8663,8286,12,13,56,4,101,2,0,0
Giles,5527,4377,15,22,37,3,79,5,1,0
Grainger,2361,3746,11,8,15,2,46,4,1,0
Greene,7909,12540,33,49,52,16,185,24,8,0
Grundy,2970,1553,3,5,15,2,37,3,1,7
Hamblen,7564,11824,14,48,53,3,181,6,6,0
Hamilton,51708,66605,57,306,265,34,1290,44,12,58
Hancock,690,1343,0,12,11,1,17,1,0,0
Hardeman,4953,3729,18,14,30,7,38,9,4,1
Hardin,3735,4951,8,4,14,2,49,0,3,16
Hawkins,6753,10071,18,40,47,2,147,9,7,4
Haywood,3887,2554,3,2,7,2,20,2,1,0
Henderson,3166,5153,6,6,20,2,46,0,0,0
Henry,6093,5944,14,22,55,3,125,11,1,41
Hickman,4239,2914,3,11,20,1,58,3,4,11
Houston,2081,993,12,9,11,2,16,2,1,0
Humphreys,4205,2387,1,10,10,1,65,1,0,1
Jackson,3304,1384,5,10,10,2,36,2,1,0
Jefferson,5226,8657,8,22,38,2,121,10,2,1
Johnson,1813,3740,12,13,12,6,54,7,0,0
Knox,60969,86851,79,501,306,46,1772,43,11,8
Lake,1419,781,0,4,6,0,11,1,2,0
Lauderdale,4224,3329,7,3,21,2,27,3,2,0
Lawrence,6643,7613,21,19,48,14,98,14,0,0
Lewis,2281,2037,7,4,18,1,63,7,2,0
Lincoln,5060,5435,9,21,36,2,72,6,0,18
Loudon,5905,10266,13,44,38,3,132,5,0,0
Macon,3059,3366,7,10,10,4,30,1,4,0
Madison,15781,17862,17,31,48,4,173,12,2,0
Marion,5441,4651,7,17,50,1,74,4,5,0
Marshall,5107,4105,5,19,22,2,94,3,0,2
Maury,11127,11930,16,49,37,4,207,8,5,17
Mcminn,6142,10155,22,57,67,8,142,7,0,0
Mcnairy,4003,4897,6,9,23,0,47,2,2,0
Meigs,1555,1797,2,6,12,3,12,1,0,2
Monroe,5327,7514,12,18,40,3,78,10,0,1
Montgomery,18818,19644,35,72,81,11,359,15,4,5
Moore,1107,1145,3,6,7,2,27,2,2,0
Morgan,2921,3144,4,6,27,2,39,7,0,12
Obion,6056,6168,13,19,62,7,99,10,6,0
Overton,4507,2875,12,12,29,5,46,10,0,0
Perry,1650,1165,3,7,8,0,28,1,3,1
Pickett,939,1281,2,2,2,0,12,1,0,0
Polk,2574,2907,6,10,48,0,46,2,1,0
Putnam,10785,11248,26,61,57,8,228,15,6,4
Rhea,3722,5900,17,16,32,6,74,0,3,2
Roane,9575,11345,15,60,97,10,211,9,4,0
Robertson,10249,9675,14,28,39,5,148,4,2,0
Rutherford,27360,33445,48,143,110,12,1024,29,11,0
Scott,2967,3579,5,7,22,0,31,3,0,1
Sequatchie,1648,2169,3,3,23,0,37,3,1,0
Sevier,8208,16734,24,65,64,4,259,4,3,0
Shelby,190404,141756,199,469,299,115,2860,235,295,123
Smith,4884,2384,5,7,21,1,42,3,1,0
Stewart,2870,1826,10,10,15,0,50,1,0,0
Sullivan,21354,33482,55,137,80,21,520,65,6,7
Sumner,22118,27601,36,109,86,13,482,23,4,5
Tipton,6300,10070,17,29,25,3,96,10,2,0
Trousdale,1966,950,2,1,4,1,15,5,1,0
Unicoi,2566,3780,9,13,12,5,40,1,1,2
Union,2564,3199,3,8,14,2,30,0,0,1
Van Buren,1255,845,6,5,10,1,8,1,0,0
Warren,7378,5552,25,28,31,4,105,5,3,0
Washington,14769,22579,14,94,64,12,375,19,11,5
Wayne,1859,3370,3,7,20,0,43,2,0,2
Weakley,5570,6106,8,12,44,3,91,9,1,0
White,4135,3525,12,14,29,0,58,1,1,0
Williamson,18745,38901,15,141,50,6,536,30,5,0
Wilson,16561,18844,39,75,69,6,308,8,4,2
