County,Donald_Trump,Kyle_Kenley_Kopitke,Hillary_Clinton,Laurence_Kotlikoff,Roque_De_La_Fuente,David_Limbaugh,Gary_Johnson,Evan_McMullin,Alyson_Kennedy,Marshall_Schoenke,Mike_Smith,Jill_Stein,Darrell_Castle,Cherunda_Fox,Tom_Hoefling
Anderson,19212,0,9013,0,74,0,1034,115,42,0,174,189,28,0,0
Bedford,11486,0,3395,0,25,0,306,8,8,0,47,75,5,0,0
Benton,4716,0,1474,0,12,0,83,3,13,0,11,14,2,0,0
Bledsoe,3622,0,897,0,7,0,95,10,4,0,9,18,2,0,0
Blount,37443,0,12100,0,83,1,1666,227,72,0,250,313,51,1,1
Bradley,29768,0,7070,0,66,0,1098,236,44,0,143,210,29,1,1
Campbell,9870,0,2248,0,32,0,251,13,25,0,43,45,5,0,0
Cannon,4007,0,1127,0,8,0,106,9,7,0,18,29,3,0,0
Carroll,7756,0,2327,0,22,0,181,19,20,0,18,39,2,0,0
Carter,16898,0,3453,0,30,0,409,64,20,0,54,130,26,0,0
Cheatham,11297,0,3878,0,26,0,463,90,13,0,50,99,8,0,0
Chester,5081,0,1243,0,5,0,115,33,4,0,12,10,4,0,0
Claiborne,8602,0,1832,0,16,0,192,16,24,0,27,29,2,0,0
Clay,2141,0,707,0,2,0,47,0,2,0,10,11,0,0,0
Cocke,9791,0,1981,0,21,0,211,13,19,0,27,59,2,0,2
Coffee,14417,0,4743,0,32,0,517,54,23,0,62,113,9,0,1
Crockett,3982,0,1303,0,7,0,76,4,3,0,8,13,1,0,0
Cumberland,20413,0,5202,0,37,0,471,41,26,0,53,99,17,0,1
Davidson,84550,0,148864,2,412,4,9603,2139,304,0,619,2459,106,0,6
Decatur,3588,0,894,0,5,0,70,5,4,0,8,16,2,0,0
Dekalb,5171,0,1569,0,10,0,117,4,6,0,29,49,0,0,0
Dickson,13233,0,4722,0,32,0,489,41,18,0,58,94,9,0,3
Dyer,10180,0,2816,0,19,0,193,37,13,0,27,48,3,0,0
Fayette,13055,0,5874,0,19,0,261,49,16,0,37,62,21,0,0
Fentress,6038,0,1100,0,10,1,107,14,14,0,11,37,1,0,0
Franklin,11532,0,4374,1,28,0,319,25,16,0,36,66,7,0,0
Gibson,13786,0,5258,0,26,1,305,43,18,0,36,66,8,0,0
Giles,7970,0,2917,0,16,0,162,8,11,0,11,41,1,0,0
Grainger,6626,0,1154,0,17,0,130,11,12,0,28,26,4,0,0
Greene,18562,0,4216,0,28,1,481,44,29,0,56,152,14,0,0
Grundy,3636,0,999,0,11,0,80,2,3,0,13,19,0,0,0
Hamblen,15857,0,4075,1,30,0,443,85,27,0,73,93,8,0,0
Hamilton,78733,0,55316,0,147,3,5443,1058,138,2,349,1098,121,0,0
Hancock,1843,0,322,0,4,0,42,1,1,0,5,13,0,0,0
Hardeman,4919,0,4185,0,18,0,84,4,11,0,13,30,9,0,0
Hardin,8012,0,1622,0,15,0,134,0,22,0,48,96,0,0,0
Hawkins,16648,0,3507,0,31,0,397,26,12,0,52,91,7,0,3
Haywood,3013,0,3711,0,11,0,60,0,10,0,10,19,0,0,0
Henderson,8138,0,1800,0,13,0,172,18,9,0,27,39,1,0,0
Henry,9508,0,3063,0,18,0,223,27,15,0,27,60,4,0,0
Hickman,5695,0,1824,0,20,0,161,22,19,0,15,39,18,0,0
Houston,2182,0,866,0,9,0,88,0,4,0,7,12,0,0,0
Humphreys,4930,0,1967,0,17,0,166,7,12,0,23,26,5,0,0
Jackson,3236,0,1129,0,2,0,62,11,1,0,7,17,1,0,0
Jefferson,14776,0,3494,0,34,0,497,49,22,0,76,115,8,0,1
Johnson,5410,0,988,0,11,0,102,7,7,0,9,39,6,0,0
Knox,105767,0,62878,8,382,3,7458,1223,227,0,986,1634,122,0,9
Lake,1357,0,577,0,5,0,18,0,1,0,6,6,0,0,0
Lauderdale,4884,0,3056,0,14,0,87,4,13,0,10,14,4,0,1
Lawrence,12420,0,2821,0,21,0,271,3,13,0,36,77,2,0,2
Lewis,3585,0,890,0,14,1,59,4,8,0,9,42,10,0,0
Lincoln,10398,0,2554,0,19,0,231,42,13,0,39,46,6,0,0
Loudon,17610,0,4919,0,41,0,573,48,22,0,77,87,5,3,6
Macon,6263,0,1072,0,10,0,91,8,4,0,18,36,2,0,0
Madison,21335,0,15448,0,77,1,660,312,42,0,86,140,19,0,0
Marion,7696,0,2832,0,18,0,221,10,13,0,22,50,0,0,0
Marshall,8184,0,2852,0,23,0,256,18,16,0,34,60,10,0,2
Maury,23799,0,10038,0,50,0,922,227,35,0,90,166,37,0,5
Mcminn,14691,0,3510,0,50,0,340,29,20,0,36,69,9,0,1
Mcnairy,7841,0,1848,0,7,0,150,0,20,0,62,110,0,0,0
Meigs,3342,0,856,0,2,0,77,2,4,0,16,19,2,0,0
Monroe,13374,0,3186,0,31,0,345,12,19,0,53,58,12,0,3
Montgomery,32341,0,21699,0,133,1,2337,244,91,0,172,540,60,0,2
Moore,2325,0,496,0,7,0,71,0,2,0,8,17,0,0,0
Morgan,5441,0,1054,0,13,0,115,5,9,0,28,17,23,0,0
Obion,9526,0,2426,0,6,0,193,23,20,0,18,36,1,0,0
Overton,6059,0,1945,2,15,0,111,18,11,0,29,31,5,0,3
Perry,2167,0,597,0,3,0,59,0,4,0,2,23,0,0,0
Pickett,2021,0,536,0,1,0,36,2,2,0,8,7,2,0,0
Polk,5097,0,1252,0,4,0,114,0,4,0,23,26,0,0,0
Putnam,19002,0,6851,0,39,0,757,163,24,1,87,225,33,0,30
Rhea,8660,0,1942,0,32,0,221,94,13,0,53,35,12,0,0
Roane,15880,0,4837,0,60,0,596,0,40,0,87,102,67,0,0
Robertson,19410,0,6637,0,50,1,717,44,23,0,64,161,4,0,2
Rutherford,64515,0,36706,0,172,30,3916,638,133,0,360,894,65,0,7
Scott,6044,0,934,0,10,0,80,0,6,0,28,21,0,0,0
Sequatchie,4441,0,1053,0,9,0,128,14,4,0,17,25,3,0,0
Sevier,28629,0,6297,0,37,0,915,93,36,0,78,212,13,0,2
Shelby,116344,0,208992,1,540,0,6939,1398,358,0,619,1986,195,1,10
Smith,5494,0,1689,0,6,1,171,7,11,0,19,30,7,0,1
Stewart,3864,0,1222,0,13,0,147,12,4,0,12,21,4,0,0
Sullivan,46979,0,12578,0,96,0,1793,171,73,0,170,355,54,0,9
Sumner,50129,0,18161,0,102,0,2102,367,75,0,176,369,22,0,2
Tipton,16910,0,5785,0,40,0,485,63,33,0,53,90,22,0,0
Trousdale,2103,0,946,0,10,0,73,5,8,0,4,6,5,0,0
Unicoi,5671,0,1262,0,8,0,139,17,14,0,27,53,4,0,0
Union,5053,0,1012,0,11,0,108,10,8,0,19,24,2,0,0
Van Buren,1820,0,539,0,2,0,46,1,1,0,1,8,1,0,0
Warren,9540,0,3535,0,35,2,339,33,19,0,41,61,7,0,0
Washington,34252,0,13024,0,82,0,1468,207,53,0,152,478,34,0,0
Wayne,5036,0,717,0,11,0,56,8,3,0,12,9,5,0,0
Weakley,9008,0,2772,0,25,0,220,43,10,0,39,62,5,0,0
White,7671,0,1845,0,22,0,149,26,22,0,39,45,4,0,2
Williamson,68212,0,31013,4,130,2,4518,1371,67,0,318,526,102,0,8
Wilson,39406,0,14385,1,69,0,1807,280,83,0,207,467,23,0,6
